n:78 mse_avg:0.33 mse_y:0.36 mse_u:0.26 mse_v:0.28 psnr_avg:52.92 psnr_y:52.51 psnr_u:54.05 psnr_v:53.73 
n:79 mse_avg:0.33 mse_y:0.37 mse_u:0.26 mse_v:0.28 psnr_avg:52.91 psnr_y:52.50 psnr_u:54.04 psnr_v:53.72 
n:80 mse_avg:0.34 mse_y:0.37 mse_u:0.26 mse_v:0.28 psnr_avg:52.82 psnr_y:52.39 psnr_u:54.00 psnr_v:53.69 
n:81 mse_avg:0.34 mse_y:0.38 mse_u:0.26 mse_v:0.28 psnr_avg:52.81 psnr_y:52.39 psnr_u:53.97 psnr_v:53.66 
n:82 mse_avg:0.35 mse_y:0.38 mse_u:0.26 mse_v:0.28 psnr_avg:52.74 psnr_y:52.29 psnr_u:53.96 psnr_v:53.66 
n:83 mse_avg:0.34 mse_y:0.37 mse_u:0.26 mse_v:0.28 psnr_avg:52.84 psnr_y:52.40 psnr_u:54.04 psnr_v:53.73 
n:84 mse_avg:0.34 mse_y:0.38 mse_u:0.26 mse_v:0.28 psnr_avg:52.81 psnr_y:52.37 psnr_u:54.00 psnr_v:53.67 
n:85 mse_avg:0.34 mse_y:0.38 mse_u:0.26 mse_v:0.28 psnr_avg:52.78 psnr_y:52.33 psnr_u:54.00 psnr_v:53.68 
n:86 mse_avg:0.35 mse_y:0.38 mse_u:0.26 mse_v:0.28 psnr_avg:52.74 psnr_y:52.29 psnr_u:53.99 psnr_v:53.67 
n:87 mse_avg:0.35 mse_y:0.39 mse_u:0.26 mse_v:0.28 psnr_avg:52.71 psnr_y:52.25 psnr_u:53.94 psnr_v:53.64 
n:88 mse_avg:0.35 mse_y:0.38 mse_u:0.26 mse_v:0.28 psnr_avg:52.73 psnr_y:52.29 psnr_u:53.93 psnr_v:53.63 
n:89 mse_avg:0.35 mse_y:0.39 mse_u:0.26 mse_v:0.28 psnr_avg:52.70 psnr_y:52.22 psnr_u:54.02 psnr_v:53.72 
n:90 mse_avg:0.33 mse_y:0.37 mse_u:0.25 mse_v:0.27 psnr_avg:52.89 psnr_y:52.45 psnr_u:54.12 psnr_v:53.79 
n:91 mse_avg:0.33 mse_y:0.36 mse_u:0.25 mse_v:0.27 psnr_avg:52.96 psnr_y:52.54 psnr_u:54.10 psnr_v:53.76 
n:92 mse_avg:0.33 mse_y:0.36 mse_u:0.26 mse_v:0.28 psnr_avg:52.93 psnr_y:52.53 psnr_u:54.04 psnr_v:53.69 
n:93 mse_avg:0.33 mse_y:0.36 mse_u:0.26 mse_v:0.28 psnr_avg:52.94 psnr_y:52.54 psnr_u:54.06 psnr_v:53.70 
n:94 mse_avg:0.33 mse_y:0.36 mse_u:0.26 mse_v:0.28 psnr_avg:52.96 psnr_y:52.56 psnr_u:54.06 psnr_v:53.72 
n:95 mse_avg:0.34 mse_y:0.37 mse_u:0.26 mse_v:0.28 psnr_avg:52.85 psnr_y:52.44 psnr_u:53.96 psnr_v:53.65 
n:96 mse_avg:0.34 mse_y:0.37 mse_u:0.26 mse_v:0.28 psnr_avg:52.84 psnr_y:52.43 psnr_u:53.96 psnr_v:53.65 
